_time,EC,Humidity_percent,PH,Temperature_C,WaterTemp_C
2023-10-26 18:39:11.692000+00:00,0.41,60,7.35,24.4,20.94
2023-10-26 18:44:23.924000+00:00,0.41,59.9,7.35,24.4,21
2023-10-26 18:49:32.003000+00:00,0.44,59.9,7.35,24.4,20.94
2023-10-26 18:54:39.923000+00:00,0.41,59.8,7.33,24.4,21
2023-10-26 18:59:47.258000+00:00,0.41,59.7,7.35,24.4,21
2023-10-26 19:04:59.302000+00:00,0.41,59.8,7.34,24.4,20.94
2023-10-26 19:10:06.929000+00:00,0.41,60.2,7.33,24.4,20.94
2023-10-26 19:15:14.793000+00:00,0.44,59.8,7.35,24.4,20.94
2023-10-26 19:20:21.946000+00:00,0.44,60,7.34,24.4,20.87
2023-10-26 19:25:33.909000+00:00,0.44,59.8,7.32,24.4,20.94
2023-10-26 19:30:42.242000+00:00,0.41,59.8,7.34,24.4,20.94
2023-10-26 19:35:50.190000+00:00,0.41,59.7,7.34,24.4,20.94
2023-10-26 19:40:57.609000+00:00,0.41,59.9,7.35,24.4,20.87
2023-10-26 19:46:10.103000+00:00,0.41,59.8,7.32,24.4,20.94
2023-10-26 19:51:18.319000+00:00,0.41,59.8,7.34,24.4,20.94
2023-10-26 19:56:25.848000+00:00,0.41,59.7,7.33,24.4,20.94
2023-10-26 20:01:36.107000+00:00,0.41,59.7,7.33,24.4,20.87
2023-10-26 20:06:43.971000+00:00,0.41,59.9,7.34,24.5,20.87
2023-10-26 20:11:52.041000+00:00,0.44,59.9,7.33,24.5,20.94
2023-10-26 20:17:00.414000+00:00,0.41,59.7,7.34,24.4,20.94
2023-10-26 20:22:11.059000+00:00,0.41,59.7,7.32,24.5,20.94
2023-10-26 20:27:20.220000+00:00,0.41,59.8,7.32,24.5,20.87
2023-10-26 20:32:28.099000+00:00,0.41,59.8,7.31,24.5,20.94
2023-10-26 20:37:36.089000+00:00,0.44,59.7,7.32,24.5,20.94
2023-10-26 20:42:46.160000+00:00,0.41,59.9,7.33,24.5,20.94
2023-10-26 20:47:53.408000+00:00,0.41,59.8,7.32,24.5,20.94
2023-10-26 20:53:01.310000+00:00,0.41,59.5,7.31,24.5,20.94
2023-10-26 20:58:08.879000+00:00,0.41,59.7,7.32,24.5,20.94
2023-10-26 21:03:21.113000+00:00,0.41,59.7,7.33,24.6,20.94
2023-10-26 21:08:28.379000+00:00,0.41,59.6,7.31,24.5,20.87
2023-10-26 21:13:35.490000+00:00,0.41,59.6,7.32,24.6,21
2023-10-26 21:18:42.865000+00:00,0.41,59.8,7.33,24.5,20.87
2023-10-26 21:23:53.260000+00:00,0.41,59.9,7.33,24.4,20.87
2023-10-26 21:29:00.497000+00:00,0.41,60,7.32,24.3,20.87
2023-10-26 21:34:08.886000+00:00,0.41,60.4,7.32,24.3,20.87
2023-10-26 21:39:19.276000+00:00,0.41,60.2,7.31,24.4,20.94
2023-10-26 21:44:27.167000+00:00,0.41,60.1,7.33,24.4,20.94
2023-10-26 21:49:34.995000+00:00,0.44,60.2,7.33,24.3,21.06
2023-10-26 21:54:42.300000+00:00,0.41,60.1,7.32,24.3,20.94
2023-10-26 21:59:55.159000+00:00,0.41,60.1,7.31,24.3,20.94
